"Tabela 6773 - Número de estabelecimentos agropecuários e Área dos estabelecimentos agropecuários, por tipologia, condição legal do produtor, residência da pessoa que dirige o estabelecimento, finalidade principal da produção agropecuária do estabelecimento, renda obtida com as atividades desenvolvidas no estabelecimento e associação do produtor à cooperativa e/ou à entidade de classe - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil e Município";"Finalidade principal da produção agropecuária do estabelecimento";"Renda obtida com as atividades desenvolvidas no estabelecimento";"#";"Associação do produtor à cooperativa e/ou à entidade de classe";"Ano x Tipologia x Condição legal do produtor x Residência da pessoa que dirige o estabelecimento"
"3510500";"Caraguatatuba (SP)";"Total";"Total";"1";"Total";"87"
"3510708";"Cardoso (SP)";"Total";"Total";"1";"Total";"263"
"3510807";"Casa Branca (SP)";"Total";"Total";"1";"Total";"504"
"3510906";"Cássia dos Coqueiros (SP)";"Total";"Total";"1";"Total";"320"
"3511003";"Castilho (SP)";"Total";"Total";"1";"Total";"1199"
"3511102";"Catanduva (SP)";"Total";"Total";"1";"Total";"157"
"3511201";"Catiguá (SP)";"Total";"Total";"1";"Total";"48"
"3511300";"Cedral (SP)";"Total";"Total";"1";"Total";"298"
"3511409";"Cerqueira César (SP)";"Total";"Total";"1";"Total";"394"
"3511508";"Cerquilho (SP)";"Total";"Total";"1";"Total";"180"
"3511607";"Cesário Lange (SP)";"Total";"Total";"1";"Total";"197"
"3511706";"Charqueada (SP)";"Total";"Total";"1";"Total";"107"
"3511904";"Clementina (SP)";"Total";"Total";"1";"Total";"127"
"3512001";"Colina (SP)";"Total";"Total";"1";"Total";"200"
"3512100";"Colômbia (SP)";"Total";"Total";"1";"Total";"221"
"3512209";"Conchal (SP)";"Total";"Total";"1";"Total";"359"
"3512308";"Conchas (SP)";"Total";"Total";"1";"Total";"509"
"3512407";"Cordeirópolis (SP)";"Total";"Total";"1";"Total";"120"
"3512506";"Coroados (SP)";"Total";"Total";"1";"Total";"332"
"3512605";"Coronel Macedo (SP)";"Total";"Total";"1";"Total";"284"
"3512704";"Corumbataí (SP)";"Total";"Total";"1";"Total";"355"
"3512803";"Cosmópolis (SP)";"Total";"Total";"1";"Total";"178"
"3512902";"Cosmorama (SP)";"Total";"Total";"1";"Total";"598"
"3513009";"Cotia (SP)";"Total";"Total";"1";"Total";"183"
"3513108";"Cravinhos (SP)";"Total";"Total";"1";"Total";"113"
"3513207";"Cristais Paulista (SP)";"Total";"Total";"1";"Total";"444"
"3513306";"Cruzália (SP)";"Total";"Total";"1";"Total";"97"
"3513405";"Cruzeiro (SP)";"Total";"Total";"1";"Total";"192"
"3513504";"Cubatão (SP)";"Total";"Total";"1";"Total";"3"
"3513603";"Cunha (SP)";"Total";"Total";"1";"Total";"2287"
"3513702";"Descalvado (SP)";"Total";"Total";"1";"Total";"396"
"3513801";"Diadema (SP)";"Total";"Total";"1";"Total";"16"
"3513850";"Dirce Reis (SP)";"Total";"Total";"1";"Total";"131"
"3513900";"Divinolândia (SP)";"Total";"Total";"1";"Total";"633"
"3514007";"Dobrada (SP)";"Total";"Total";"1";"Total";"29"
"3514106";"Dois Córregos (SP)";"Total";"Total";"1";"Total";"367"
"3514205";"Dolcinópolis (SP)";"Total";"Total";"1";"Total";"107"
"3514304";"Dourado (SP)";"Total";"Total";"1";"Total";"63"
"3514403";"Dracena (SP)";"Total";"Total";"1";"Total";"572"
"3514502";"Duartina (SP)";"Total";"Total";"1";"Total";"248"
"3514601";"Dumont (SP)";"Total";"Total";"1";"Total";"178"
"3514700";"Echaporã (SP)";"Total";"Total";"1";"Total";"272"
"3514809";"Eldorado (SP)";"Total";"Total";"1";"Total";"848"
"3514908";"Elias Fausto (SP)";"Total";"Total";"1";"Total";"295"
"3514924";"Elisiário (SP)";"Total";"Total";"1";"Total";"49"
"3514957";"Embaúba (SP)";"Total";"Total";"1";"Total";"63"
"3515004";"Embu das Artes (SP)";"Total";"Total";"1";"Total";"27"
"3515103";"Embu-Guaçu (SP)";"Total";"Total";"1";"Total";"105"
"3515129";"Emilianópolis (SP)";"Total";"Total";"1";"Total";"194"
"3515152";"Engenheiro Coelho (SP)";"Total";"Total";"1";"Total";"317"
"3515186";"Espírito Santo do Pinhal (SP)";"Total";"Total";"1";"Total";"481"
"3515194";"Espírito Santo do Turvo (SP)";"Total";"Total";"1";"Total";"97"
"3515202";"Estrela d'Oeste (SP)";"Total";"Total";"1";"Total";"270"
"3515301";"Estrela do Norte (SP)";"Total";"Total";"1";"Total";"136"
"3515350";"Euclides da Cunha Paulista (SP)";"Total";"Total";"1";"Total";"751"
"3515400";"Fartura (SP)";"Total";"Total";"1";"Total";"475"
"3515509";"Fernandópolis (SP)";"Total";"Total";"1";"Total";"584"
"3515608";"Fernando Prestes (SP)";"Total";"Total";"1";"Total";"313"
"3515657";"Fernão (SP)";"Total";"Total";"1";"Total";"205"
"3515707";"Ferraz de Vasconcelos (SP)";"Total";"Total";"1";"Total";"16"
"3515806";"Flora Rica (SP)";"Total";"Total";"1";"Total";"109"
"3515905";"Floreal (SP)";"Total";"Total";"1";"Total";"230"
"3516002";"Flórida Paulista (SP)";"Total";"Total";"1";"Total";"512"
"3516101";"Florínea (SP)";"Total";"Total";"1";"Total";"46"
"3516200";"Franca (SP)";"Total";"Total";"1";"Total";"541"
"3516309";"Francisco Morato (SP)";"Total";"Total";"1";"Total";"26"
"3516408";"Franco da Rocha (SP)";"Total";"Total";"1";"Total";"137"
"3516507";"Gabriel Monteiro (SP)";"Total";"Total";"1";"Total";"178"
"3516606";"Gália (SP)";"Total";"Total";"1";"Total";"316"
"3516705";"Garça (SP)";"Total";"Total";"1";"Total";"578"
"3516804";"Gastão Vidigal (SP)";"Total";"Total";"1";"Total";"209"
"3516853";"Gavião Peixoto (SP)";"Total";"Total";"1";"Total";"56"
"3516903";"General Salgado (SP)";"Total";"Total";"1";"Total";"354"
"3517000";"Getulina (SP)";"Total";"Total";"1";"Total";"218"
"3517109";"Glicério (SP)";"Total";"Total";"1";"Total";"248"
"3517208";"Guaiçara (SP)";"Total";"Total";"1";"Total";"124"
"3517307";"Guaimbê (SP)";"Total";"Total";"1";"Total";"86"
"3517406";"Guaíra (SP)";"Total";"Total";"1";"Total";"313"
"3517505";"Guapiaçu (SP)";"Total";"Total";"1";"Total";"510"
"3517604";"Guapiara (SP)";"Total";"Total";"1";"Total";"819"
"3517703";"Guará (SP)";"Total";"Total";"1";"Total";"146"
"3517802";"Guaraçaí (SP)";"Total";"Total";"1";"Total";"402"
"3517901";"Guaraci (SP)";"Total";"Total";"1";"Total";"189"
"3518008";"Guarani d'Oeste (SP)";"Total";"Total";"1";"Total";"93"
"3518107";"Guarantã (SP)";"Total";"Total";"1";"Total";"298"
"3518206";"Guararapes (SP)";"Total";"Total";"1";"Total";"362"
"3518305";"Guararema (SP)";"Total";"Total";"1";"Total";"221"
"3518404";"Guaratinguetá (SP)";"Total";"Total";"1";"Total";"372"
"3518503";"Guareí (SP)";"Total";"Total";"1";"Total";"764"
"3518602";"Guariba (SP)";"Total";"Total";"1";"Total";"82"
"3518701";"Guarujá (SP)";"Total";"Total";"1";"Total";"9"
"3518800";"Guarulhos (SP)";"Total";"Total";"1";"Total";"83"
"3518859";"Guatapará (SP)";"Total";"Total";"1";"Total";"169"
"3518909";"Guzolândia (SP)";"Total";"Total";"1";"Total";"165"
"3519006";"Herculândia (SP)";"Total";"Total";"1";"Total";"428"
"3519055";"Holambra (SP)";"Total";"Total";"1";"Total";"218"
"3519071";"Hortolândia (SP)";"Total";"Total";"1";"Total";"19"
"3519105";"Iacanga (SP)";"Total";"Total";"1";"Total";"171"
"3519204";"Iacri (SP)";"Total";"Total";"1";"Total";"241"
"3519253";"Iaras (SP)";"Total";"Total";"1";"Total";"432"
"3519303";"Ibaté (SP)";"Total";"Total";"1";"Total";"57"
"3519402";"Ibirá (SP)";"Total";"Total";"1";"Total";"244"
"3519501";"Ibirarema (SP)";"Total";"Total";"1";"Total";"139"
"3519600";"Ibitinga (SP)";"Total";"Total";"1";"Total";"403"
"3519709";"Ibiúna (SP)";"Total";"Total";"1";"Total";"1240"
"3519808";"Icém (SP)";"Total";"Total";"1";"Total";"86"
"3519907";"Iepê (SP)";"Total";"Total";"1";"Total";"266"
"3520004";"Igaraçu do Tietê (SP)";"Total";"Total";"1";"Total";"42"
"3520103";"Igarapava (SP)";"Total";"Total";"1";"Total";"209"
"3520202";"Igaratá (SP)";"Total";"Total";"1";"Total";"120"
"3520301";"Iguape (SP)";"Total";"Total";"1";"Total";"476"
"3520400";"Ilhabela (SP)";"Total";"Total";"1";"Total";"13"
"3520426";"Ilha Comprida (SP)";"Total";"Total";"1";"Total";"6"
"3520442";"Ilha Solteira (SP)";"Total";"Total";"1";"Total";"342"
"3520509";"Indaiatuba (SP)";"Total";"Total";"1";"Total";"332"
"3520608";"Indiana (SP)";"Total";"Total";"1";"Total";"215"
"3520707";"Indiaporã (SP)";"Total";"Total";"1";"Total";"201"
"3520806";"Inúbia Paulista (SP)";"Total";"Total";"1";"Total";"114"
"3520905";"Ipaussu (SP)";"Total";"Total";"1";"Total";"42"
"3521002";"Iperó (SP)";"Total";"Total";"1";"Total";"160"
"3521101";"Ipeúna (SP)";"Total";"Total";"1";"Total";"219"
"3521150";"Ipiguá (SP)";"Total";"Total";"1";"Total";"152"
"3521200";"Iporanga (SP)";"Total";"Total";"1";"Total";"363"
"3521309";"Ipuã (SP)";"Total";"Total";"1";"Total";"105"
"3521408";"Iracemápolis (SP)";"Total";"Total";"1";"Total";"28"
"3521507";"Irapuã (SP)";"Total";"Total";"1";"Total";"211"
"3521606";"Irapuru (SP)";"Total";"Total";"1";"Total";"379"
"3521705";"Itaberá (SP)";"Total";"Total";"1";"Total";"946"
"3521804";"Itaí (SP)";"Total";"Total";"1";"Total";"613"
"3521903";"Itajobi (SP)";"Total";"Total";"1";"Total";"595"
"3522000";"Itaju (SP)";"Total";"Total";"1";"Total";"205"
"3522109";"Itanhaém (SP)";"Total";"Total";"1";"Total";"57"
"3522158";"Itaoca (SP)";"Total";"Total";"1";"Total";"127"
"3522208";"Itapecerica da Serra (SP)";"Total";"Total";"1";"Total";"87"
"3522307";"Itapetininga (SP)";"Total";"Total";"1";"Total";"1291"
"3522406";"Itapeva (SP)";"Total";"Total";"1";"Total";"1231"
"3522505";"Itapevi (SP)";"Total";"Total";"1";"Total";"5"
"3522604";"Itapira (SP)";"Total";"Total";"1";"Total";"495"
"3522653";"Itapirapuã Paulista (SP)";"Total";"Total";"1";"Total";"310"
"3522703";"Itápolis (SP)";"Total";"Total";"1";"Total";"782"
"3522802";"Itaporanga (SP)";"Total";"Total";"1";"Total";"924"
"3522901";"Itapuí (SP)";"Total";"Total";"1";"Total";"80"
"3523008";"Itapura (SP)";"Total";"Total";"1";"Total";"261"
"3523107";"Itaquaquecetuba (SP)";"Total";"Total";"1";"Total";"49"
"3523206";"Itararé (SP)";"Total";"Total";"1";"Total";"682"
"3523305";"Itariri (SP)";"Total";"Total";"1";"Total";"214"
"3523404";"Itatiba (SP)";"Total";"Total";"1";"Total";"331"
"3523503";"Itatinga (SP)";"Total";"Total";"1";"Total";"216"
"3523602";"Itirapina (SP)";"Total";"Total";"1";"Total";"228"
"3523701";"Itirapuã (SP)";"Total";"Total";"1";"Total";"205"
"3523800";"Itobi (SP)";"Total";"Total";"1";"Total";"125"
"3523909";"Itu (SP)";"Total";"Total";"1";"Total";"247"
"3524006";"Itupeva (SP)";"Total";"Total";"1";"Total";"116"
"3524105";"Ituverava (SP)";"Total";"Total";"1";"Total";"247"
"3524204";"Jaborandi (SP)";"Total";"Total";"1";"Total";"136"
"3524303";"Jaboticabal (SP)";"Total";"Total";"1";"Total";"301"
"3524402";"Jacareí (SP)";"Total";"Total";"1";"Total";"398"
"3524501";"Jaci (SP)";"Total";"Total";"1";"Total";"163"
"3524600";"Jacupiranga (SP)";"Total";"Total";"1";"Total";"505"
"3524709";"Jaguariúna (SP)";"Total";"Total";"1";"Total";"67"
"3524808";"Jales (SP)";"Total";"Total";"1";"Total";"1012"
"3524907";"Jambeiro (SP)";"Total";"Total";"1";"Total";"105"
"3525102";"Jardinópolis (SP)";"Total";"Total";"1";"Total";"231"
"3525201";"Jarinu (SP)";"Total";"Total";"1";"Total";"188"
"3525300";"Jaú (SP)";"Total";"Total";"1";"Total";"333"
"3525409";"Jeriquara (SP)";"Total";"Total";"1";"Total";"80"
"3525508";"Joanópolis (SP)";"Total";"Total";"1";"Total";"210"
"3525607";"João Ramalho (SP)";"Total";"Total";"1";"Total";"283"
"3525706";"José Bonifácio (SP)";"Total";"Total";"1";"Total";"648"
"3525805";"Júlio Mesquita (SP)";"Total";"Total";"1";"Total";"58"
"3525854";"Jumirim (SP)";"Total";"Total";"1";"Total";"113"
"3525904";"Jundiaí (SP)";"Total";"Total";"1";"Total";"399"
"3526001";"Junqueirópolis (SP)";"Total";"Total";"1";"Total";"537"
"3526100";"Juquiá (SP)";"Total";"Total";"1";"Total";"376"
"3526209";"Juquitiba (SP)";"Total";"Total";"1";"Total";"123"
"3526308";"Lagoinha (SP)";"Total";"Total";"1";"Total";"257"
"3526407";"Laranjal Paulista (SP)";"Total";"Total";"1";"Total";"461"
"3526506";"Lavínia (SP)";"Total";"Total";"1";"Total";"276"
"3526605";"Lavrinhas (SP)";"Total";"Total";"1";"Total";"61"
"3526704";"Leme (SP)";"Total";"Total";"1";"Total";"267"
"3526803";"Lençóis Paulista (SP)";"Total";"Total";"1";"Total";"273"
"3526902";"Limeira (SP)";"Total";"Total";"1";"Total";"936"
"3527009";"Lindóia (SP)";"Total";"Total";"1";"Total";"64"
"3527108";"Lins (SP)";"Total";"Total";"1";"Total";"137"
"3527207";"Lorena (SP)";"Total";"Total";"1";"Total";"189"
"3527256";"Lourdes (SP)";"Total";"Total";"1";"Total";"112"
"3527306";"Louveira (SP)";"Total";"Total";"1";"Total";"136"
"3527405";"Lucélia (SP)";"Total";"Total";"1";"Total";"443"
"3527504";"Lucianópolis (SP)";"Total";"Total";"1";"Total";"133"
"3527603";"Luís Antônio (SP)";"Total";"Total";"1";"Total";"55"
"3527702";"Luiziânia (SP)";"Total";"Total";"1";"Total";"182"
"3527801";"Lupércio (SP)";"Total";"Total";"1";"Total";"192"
"3527900";"Lutécia (SP)";"Total";"Total";"1";"Total";"159"
"3528007";"Macatuba (SP)";"Total";"Total";"1";"Total";"79"
"3528106";"Macaubal (SP)";"Total";"Total";"1";"Total";"451"
"3528205";"Macedônia (SP)";"Total";"Total";"1";"Total";"327"
"3528304";"Magda (SP)";"Total";"Total";"1";"Total";"172"
"3528403";"Mairinque (SP)";"Total";"Total";"1";"Total";"117"
"3528502";"Mairiporã (SP)";"Total";"Total";"1";"Total";"72"
"3528601";"Manduri (SP)";"Total";"Total";"1";"Total";"191"
"3528700";"Marabá Paulista (SP)";"Total";"Total";"1";"Total";"489"
"3528809";"Maracaí (SP)";"Total";"Total";"1";"Total";"217"
"3528858";"Marapoama (SP)";"Total";"Total";"1";"Total";"148"
"3528908";"Mariápolis (SP)";"Total";"Total";"1";"Total";"387"
"3529005";"Marília (SP)";"Total";"Total";"1";"Total";"881"
"3529104";"Marinópolis (SP)";"Total";"Total";"1";"Total";"155"
"3529203";"Martinópolis (SP)";"Total";"Total";"1";"Total";"559"
"3529302";"Matão (SP)";"Total";"Total";"1";"Total";"171"
"3529401";"Mauá (SP)";"Total";"Total";"1";"Total";"34"
"3529500";"Mendonça (SP)";"Total";"Total";"1";"Total";"285"
"3529609";"Meridiano (SP)";"Total";"Total";"1";"Total";"205"
"3529658";"Mesópolis (SP)";"Total";"Total";"1";"Total";"198"
"3529708";"Miguelópolis (SP)";"Total";"Total";"1";"Total";"195"
"3529807";"Mineiros do Tietê (SP)";"Total";"Total";"1";"Total";"94"
"3529906";"Miracatu (SP)";"Total";"Total";"1";"Total";"675"
"3530003";"Mira Estrela (SP)";"Total";"Total";"1";"Total";"221"
"3530102";"Mirandópolis (SP)";"Total";"Total";"1";"Total";"1013"
"3530201";"Mirante do Paranapanema (SP)";"Total";"Total";"1";"Total";"2097"
"3530300";"Mirassol (SP)";"Total";"Total";"1";"Total";"359"
"3530409";"Mirassolândia (SP)";"Total";"Total";"1";"Total";"193"
"3530508";"Mococa (SP)";"Total";"Total";"1";"Total";"454"
"3530607";"Mogi das Cruzes (SP)";"Total";"Total";"1";"Total";"1379"
"3530706";"Mogi Guaçu (SP)";"Total";"Total";"1";"Total";"509"
"3530805";"Mogi Mirim (SP)";"Total";"Total";"1";"Total";"716"
"3530904";"Mombuca (SP)";"Total";"Total";"1";"Total";"54"
"3531001";"Monções (SP)";"Total";"Total";"1";"Total";"112"
"3531100";"Mongaguá (SP)";"Total";"Total";"1";"Total";"43"
"3531209";"Monte Alegre do Sul (SP)";"Total";"Total";"1";"Total";"148"
"3531308";"Monte Alto (SP)";"Total";"Total";"1";"Total";"497"
"3531407";"Monte Aprazível (SP)";"Total";"Total";"1";"Total";"825"
"3531506";"Monte Azul Paulista (SP)";"Total";"Total";"1";"Total";"220"
"3531605";"Monte Castelo (SP)";"Total";"Total";"1";"Total";"265"
"3531704";"Monteiro Lobato (SP)";"Total";"Total";"1";"Total";"139"
"3531803";"Monte Mor (SP)";"Total";"Total";"1";"Total";"226"
"3531902";"Morro Agudo (SP)";"Total";"Total";"1";"Total";"208"
"3532009";"Morungaba (SP)";"Total";"Total";"1";"Total";"145"
"3532058";"Motuca (SP)";"Total";"Total";"1";"Total";"184"
"3532108";"Murutinga do Sul (SP)";"Total";"Total";"1";"Total";"489"
"3532157";"Nantes (SP)";"Total";"Total";"1";"Total";"56"
"3532207";"Narandiba (SP)";"Total";"Total";"1";"Total";"138"
"3532306";"Natividade da Serra (SP)";"Total";"Total";"1";"Total";"563"
"3532405";"Nazaré Paulista (SP)";"Total";"Total";"1";"Total";"298"
"3532504";"Neves Paulista (SP)";"Total";"Total";"1";"Total";"274"
"3532603";"Nhandeara (SP)";"Total";"Total";"1";"Total";"673"
"3532702";"Nipoã (SP)";"Total";"Total";"1";"Total";"136"
"3532801";"Nova Aliança (SP)";"Total";"Total";"1";"Total";"209"
"3532827";"Nova Campina (SP)";"Total";"Total";"1";"Total";"154"
"3532843";"Nova Canaã Paulista (SP)";"Total";"Total";"1";"Total";"342"
"3532868";"Nova Castilho (SP)";"Total";"Total";"1";"Total";"106"
"3532900";"Nova Europa (SP)";"Total";"Total";"1";"Total";"76"
"3533007";"Nova Granada (SP)";"Total";"Total";"1";"Total";"430"
"3533106";"Nova Guataporanga (SP)";"Total";"Total";"1";"Total";"89"
"3533205";"Nova Independência (SP)";"Total";"Total";"1";"Total";"127"
"3533254";"Novais (SP)";"Total";"Total";"1";"Total";"91"
"3533304";"Nova Luzitânia (SP)";"Total";"Total";"1";"Total";"98"
"3533403";"Nova Odessa (SP)";"Total";"Total";"1";"Total";"36"
"3533502";"Novo Horizonte (SP)";"Total";"Total";"1";"Total";"669"
"3533601";"Nuporanga (SP)";"Total";"Total";"1";"Total";"197"
"3533700";"Ocauçu (SP)";"Total";"Total";"1";"Total";"340"
"3533809";"Óleo (SP)";"Total";"Total";"1";"Total";"336"
"3533908";"Olímpia (SP)";"Total";"Total";"1";"Total";"605"
"3534005";"Onda Verde (SP)";"Total";"Total";"1";"Total";"73"
"3534104";"Oriente (SP)";"Total";"Total";"1";"Total";"97"
"3534203";"Orindiúva (SP)";"Total";"Total";"1";"Total";"110"
"3534302";"Orlândia (SP)";"Total";"Total";"1";"Total";"89"
"3534401";"Osasco (SP)";"Total";"Total";"1";"Total";"16"
"3534500";"Oscar Bressane (SP)";"Total";"Total";"1";"Total";"187"
"3534609";"Osvaldo Cruz (SP)";"Total";"Total";"1";"Total";"660"
"3534708";"Ourinhos (SP)";"Total";"Total";"1";"Total";"173"
"3534757";"Ouroeste (SP)";"Total";"Total";"1";"Total";"231"
"3534807";"Ouro Verde (SP)";"Total";"Total";"1";"Total";"162"
"3534906";"Pacaembu (SP)";"Total";"Total";"1";"Total";"539"
"3535002";"Palestina (SP)";"Total";"Total";"1";"Total";"642"
"3535101";"Palmares Paulista (SP)";"Total";"Total";"1";"Total";"31"
"3535200";"Palmeira d'Oeste (SP)";"Total";"Total";"1";"Total";"784"
"3535309";"Palmital (SP)";"Total";"Total";"1";"Total";"401"
"3535408";"Panorama (SP)";"Total";"Total";"1";"Total";"134"
"3535507";"Paraguaçu Paulista (SP)";"Total";"Total";"1";"Total";"613"
"3535606";"Paraibuna (SP)";"Total";"Total";"1";"Total";"368"
"3535705";"Paraíso (SP)";"Total";"Total";"1";"Total";"81"
"3535804";"Paranapanema (SP)";"Total";"Total";"1";"Total";"582"
"3535903";"Paranapuã (SP)";"Total";"Total";"1";"Total";"156"
"3536000";"Parapuã (SP)";"Total";"Total";"1";"Total";"505"
"3536109";"Pardinho (SP)";"Total";"Total";"1";"Total";"99"
"3536208";"Pariquera-Açu (SP)";"Total";"Total";"1";"Total";"321"
"3536257";"Parisi (SP)";"Total";"Total";"1";"Total";"193"
"3536307";"Patrocínio Paulista (SP)";"Total";"Total";"1";"Total";"375"
"3536406";"Paulicéia (SP)";"Total";"Total";"1";"Total";"246"
"3536505";"Paulínia (SP)";"Total";"Total";"1";"Total";"42"
"3536570";"Paulistânia (SP)";"Total";"Total";"1";"Total";"168"
"3536604";"Paulo de Faria (SP)";"Total";"Total";"1";"Total";"186"
"3536703";"Pederneiras (SP)";"Total";"Total";"1";"Total";"613"
"3536802";"Pedra Bela (SP)";"Total";"Total";"1";"Total";"266"
"3536901";"Pedranópolis (SP)";"Total";"Total";"1";"Total";"355"
"3537008";"Pedregulho (SP)";"Total";"Total";"1";"Total";"429"
"3537107";"Pedreira (SP)";"Total";"Total";"1";"Total";"64"
"3537156";"Pedrinhas Paulista (SP)";"Total";"Total";"1";"Total";"116"
"3537206";"Pedro de Toledo (SP)";"Total";"Total";"1";"Total";"183"
"3537305";"Penápolis (SP)";"Total";"Total";"1";"Total";"645"
"3537404";"Pereira Barreto (SP)";"Total";"Total";"1";"Total";"446"
"3537503";"Pereiras (SP)";"Total";"Total";"1";"Total";"269"
"3537602";"Peruíbe (SP)";"Total";"Total";"1";"Total";"104"
"3537701";"Piacatu (SP)";"Total";"Total";"1";"Total";"228"
"3537800";"Piedade (SP)";"Total";"Total";"1";"Total";"1722"
"3537909";"Pilar do Sul (SP)";"Total";"Total";"1";"Total";"692"
"3538006";"Pindamonhangaba (SP)";"Total";"Total";"1";"Total";"301"
"3538105";"Pindorama (SP)";"Total";"Total";"1";"Total";"180"
"3538204";"Pinhalzinho (SP)";"Total";"Total";"1";"Total";"307"
"3538303";"Piquerobi (SP)";"Total";"Total";"1";"Total";"329"
"3538501";"Piquete (SP)";"Total";"Total";"1";"Total";"87"
"3538600";"Piracaia (SP)";"Total";"Total";"1";"Total";"305"
"3538709";"Piracicaba (SP)";"Total";"Total";"1";"Total";"691"
"3538808";"Piraju (SP)";"Total";"Total";"1";"Total";"420"
"3538907";"Pirajuí (SP)";"Total";"Total";"1";"Total";"331"
"3539004";"Pirangi (SP)";"Total";"Total";"1";"Total";"311"
"3539103";"Pirapora do Bom Jesus (SP)";"Total";"Total";"1";"Total";"11"
"3539202";"Pirapozinho (SP)";"Total";"Total";"1";"Total";"255"
"3539301";"Pirassununga (SP)";"Total";"Total";"1";"Total";"579"
"3539400";"Piratininga (SP)";"Total";"Total";"1";"Total";"339"
"3539509";"Pitangueiras (SP)";"Total";"Total";"1";"Total";"222"
"3539608";"Planalto (SP)";"Total";"Total";"1";"Total";"118"
"3539707";"Platina (SP)";"Total";"Total";"1";"Total";"220"
"3539806";"Poá (SP)";"Total";"Total";"1";"Total";"7"
"3539905";"Poloni (SP)";"Total";"Total";"1";"Total";"203"
"3540002";"Pompéia (SP)";"Total";"Total";"1";"Total";"296"
"3540101";"Pongaí (SP)";"Total";"Total";"1";"Total";"137"
"3540200";"Pontal (SP)";"Total";"Total";"1";"Total";"50"
"3540259";"Pontalinda (SP)";"Total";"Total";"1";"Total";"233"
"3540309";"Pontes Gestal (SP)";"Total";"Total";"1";"Total";"116"
"3540408";"Populina (SP)";"Total";"Total";"1";"Total";"225"
"3540507";"Porangaba (SP)";"Total";"Total";"1";"Total";"391"
"3540606";"Porto Feliz (SP)";"Total";"Total";"1";"Total";"442"
"3540705";"Porto Ferreira (SP)";"Total";"Total";"1";"Total";"141"
"3540754";"Potim (SP)";"Total";"Total";"1";"Total";"34"
"3540804";"Potirendaba (SP)";"Total";"Total";"1";"Total";"726"
"3540853";"Pracinha (SP)";"Total";"Total";"1";"Total";"94"
"3540903";"Pradópolis (SP)";"Total";"Total";"1";"Total";"219"
"3541059";"Pratânia (SP)";"Total";"Total";"1";"Total";"88"
"3541109";"Presidente Alves (SP)";"Total";"Total";"1";"Total";"182"
"3541208";"Presidente Bernardes (SP)";"Total";"Total";"1";"Total";"972"
"3541307";"Presidente Epitácio (SP)";"Total";"Total";"1";"Total";"722"
"3541406";"Presidente Prudente (SP)";"Total";"Total";"1";"Total";"533"
"3541505";"Presidente Venceslau (SP)";"Total";"Total";"1";"Total";"612"
"3541604";"Promissão (SP)";"Total";"Total";"1";"Total";"1058"
"3541653";"Quadra (SP)";"Total";"Total";"1";"Total";"204"
"3541703";"Quatá (SP)";"Total";"Total";"1";"Total";"246"
"3541802";"Queiroz (SP)";"Total";"Total";"1";"Total";"66"
"3541901";"Queluz (SP)";"Total";"Total";"1";"Total";"50"
"3542008";"Quintana (SP)";"Total";"Total";"1";"Total";"134"
"3542107";"Rafard (SP)";"Total";"Total";"1";"Total";"69"
"3542206";"Rancharia (SP)";"Total";"Total";"1";"Total";"806"
"3542305";"Redenção da Serra (SP)";"Total";"Total";"1";"Total";"271"
"3542404";"Regente Feijó (SP)";"Total";"Total";"1";"Total";"285"
"3542503";"Reginópolis (SP)";"Total";"Total";"1";"Total";"124"
"3542602";"Registro (SP)";"Total";"Total";"1";"Total";"627"
"3542701";"Restinga (SP)";"Total";"Total";"1";"Total";"227"
"3542800";"Ribeira (SP)";"Total";"Total";"1";"Total";"208"
"3542909";"Ribeirão Bonito (SP)";"Total";"Total";"1";"Total";"237"
"3543006";"Ribeirão Branco (SP)";"Total";"Total";"1";"Total";"957"
"3543105";"Ribeirão Corrente (SP)";"Total";"Total";"1";"Total";"199"
"3543204";"Ribeirão do Sul (SP)";"Total";"Total";"1";"Total";"253"
"3543238";"Ribeirão dos Índios (SP)";"Total";"Total";"1";"Total";"125"
"3543253";"Ribeirão Grande (SP)";"Total";"Total";"1";"Total";"331"
"3543303";"Ribeirão Pires (SP)";"Total";"Total";"1";"Total";"12"
"3543402";"Ribeirão Preto (SP)";"Total";"Total";"1";"Total";"655"
"3543501";"Riversul (SP)";"Total";"Total";"1";"Total";"422"
"3543600";"Rifaina (SP)";"Total";"Total";"1";"Total";"40"
"3543709";"Rincão (SP)";"Total";"Total";"1";"Total";"76"
"3543808";"Rinópolis (SP)";"Total";"Total";"1";"Total";"370"
"3543907";"Rio Claro (SP)";"Total";"Total";"1";"Total";"798"
"3544004";"Rio das Pedras (SP)";"Total";"Total";"1";"Total";"75"
"3544103";"Rio Grande da Serra (SP)";"Total";"Total";"1";"Total";"5"
"3544202";"Riolândia (SP)";"Total";"Total";"1";"Total";"180"
"3544251";"Rosana (SP)";"Total";"Total";"1";"Total";"792"
"3544301";"Roseira (SP)";"Total";"Total";"1";"Total";"56"
"3544400";"Rubiácea (SP)";"Total";"Total";"1";"Total";"87"
"3544509";"Rubinéia (SP)";"Total";"Total";"1";"Total";"154"
"3544608";"Sabino (SP)";"Total";"Total";"1";"Total";"98"
"3544707";"Sagres (SP)";"Total";"Total";"1";"Total";"216"
